workstream,total_fte_pct,resource_count,total_fte
GBSG E2E | Accounting/Commerce,1.1,11,0.011000000000000001
PDX | Web development operational excellence and dev efficiency,100.0,1,1.0
"SBG PD | 3P Integrations, App Marketplace & Monetization",3300.0,33,33.0
SBG PD | AI & Business Platform,800.0,8,8.0
SBG PD | Accounting,6000.0,60,60.0
"SBG PD | CoreApp Foundations, Tooling & Patterns",1370.0,14,13.7
"SBG PD | Customer Growth - Web, Commercialization, and Trials",2400.0,24,24.0
SBG PD | FMS & Expertise,600.0,6,6.0
"SBG PD | Fusion - Shared Expereinces (  Navigation, Onboarding, Dashboard, Task Management,)  Fusion E2E and FODE",3300.0,33,33.0
SBG PD | Indirect and Direct Taxes,4100.0,41,41.0
SBG PD | Leadership,500.0,5,5.0
SBG PD | PMO - Planning & Financial Operations,700.0,7,7.0
SBG PD | Product Specialists,400.0,4,4.0
SBG PD | QB Accountants,5300.0,53,53.0
SBG PD | QB Mobile,200.0,2,2.0
SBG PD | QBLive,4300.0,43,43.0
SBG PD | QBO - International,3400.0,34,34.0
SBG PD | QBPlatform:  API/modernization,630.0,7,6.3
SBG PD | SBG - AI Core Products (Formerly QB Smart Products),100.0,1,1.0
SBG PD | SBG - AI Growth & Engagement (Formerly Growth & Engagement Smart Products),700.0,7,7.0
SBG PD | Small Business Ecosystem,1300.0,13,13.0
